driverRef,grid,positionOrder,constructorRef,circuitRef
gutierrez,11,14,sauber,interlagos
ericsson,12,16,sauber,interlagos
ericsson,20,21,sauber,interlagos
ericsson,17,13,sauber,interlagos
ericsson,6,20,sauber,interlagos
nasr,13,13,sauber,interlagos
nasr,21,9,sauber,interlagos
wehrlein,15,14,sauber,interlagos
leclerc,7,7,sauber,interlagos
vettel,6,5,red_bull,interlagos
ricciardo,9,18,red_bull,interlagos
ricciardo,19,11,red_bull,interlagos
ricciardo,6,8,red_bull,interlagos
ricciardo,14,6,red_bull,interlagos
ricciardo,11,4,red_bull,interlagos
kvyat,6,7,red_bull,interlagos
max_verstappen,4,3,red_bull,interlagos
max_verstappen,4,5,red_bull,interlagos
max_verstappen,5,2,red_bull,interlagos
max_verstappen,1,1,red_bull,interlagos
albon,5,14,red_bull,interlagos
grosjean,14,17,lotus_f1,interlagos
grosjean,14,8,lotus_f1,interlagos
maldonado,16,12,lotus_f1,interlagos
maldonado,15,10,lotus_f1,interlagos
grosjean,7,22,haas,interlagos
grosjean,11,15,haas,interlagos
grosjean,8,8,haas,interlagos
grosjean,7,13,haas,interlagos
gutierrez,12,17,haas,interlagos
kevin_magnussen,13,20,haas,interlagos
kevin_magnussen,10,9,haas,interlagos
kevin_magnussen,9,11,haas,interlagos
hulkenberg,12,8,force_india,interlagos
hulkenberg,5,6,force_india,interlagos
hulkenberg,8,7,force_india,interlagos
perez,18,15,force_india,interlagos
perez,11,12,force_india,interlagos
perez,9,4,force_india,interlagos
perez,5,9,force_india,interlagos
perez,12,10,force_india,interlagos
ocon,10,18,force_india,interlagos
ocon,18,15,force_india,interlagos
hulkenberg,7,10,renault,interlagos
hulkenberg,13,19,renault,interlagos
hulkenberg,13,15,renault,interlagos
ricciardo,11,6,renault,interlagos
kevin_magnussen,18,14,renault,interlagos
sainz,8,11,renault,interlagos
sainz,15,12,renault,interlagos
jolyon_palmer,16,19,renault,interlagos
perez,15,9,racing_point,interlagos
stroll,17,19,racing_point,interlagos
vergne,15,13,toro_rosso,interlagos
kvyat,17,11,toro_rosso,interlagos
kvyat,14,13,toro_rosso,interlagos
kvyat,16,10,toro_rosso,interlagos
max_verstappen,9,9,toro_rosso,interlagos
sainz,10,19,toro_rosso,interlagos
sainz,15,6,toro_rosso,interlagos
gasly,19,12,toro_rosso,interlagos
gasly,9,13,toro_rosso,interlagos
gasly,6,2,toro_rosso,interlagos
brendon_hartley,18,17,toro_rosso,interlagos
brendon_hartley,16,11,toro_rosso,interlagos
stevens,18,17,manor,interlagos
rossi,17,18,manor,interlagos
wehrlein,19,15,manor,interlagos
ocon,22,12,manor,interlagos
hamilton,2,1,mercedes,yas_marina
hamilton,2,2,mercedes,yas_marina
hamilton,1,1,mercedes,yas_marina
hamilton,2,2,mercedes,yas_marina
hamilton,1,1,mercedes,yas_marina
hamilton,1,1,mercedes,yas_marina
hamilton,3,3,mercedes,yas_marina
rosberg,1,14,mercedes,yas_marina
rosberg,1,1,mercedes,yas_marina
rosberg,2,2,mercedes,yas_marina
bottas,1,1,mercedes,yas_marina
bottas,2,5,mercedes,yas_marina
bottas,20,4,mercedes,yas_marina
bottas,2,2,mercedes,yas_marina
alonso,8,9,ferrari,yas_marina
raikkonen,7,10,ferrari,yas_marina
raikkonen,3,3,ferrari,yas_marina
raikkonen,4,6,ferrari,yas_marina
raikkonen,5,4,ferrari,yas_marina
raikkonen,4,19,ferrari,yas_marina
vettel,15,4,ferrari,yas_marina
vettel,5,3,ferrari,yas_marina
vettel,3,3,ferrari,yas_marina
vettel,3,2,ferrari,yas_marina
vettel,4,5,ferrari,yas_marina
vettel,13,14,ferrari,yas_marina
leclerc,3,3,ferrari,yas_marina
leclerc,12,13,ferrari,yas_marina
alonso,16,17,mclaren,yas_marina
alonso,9,10,mclaren,yas_marina
alonso,11,9,mclaren,yas_marina
alonso,15,11,mclaren,yas_marina
button,6,5,mclaren,yas_marina
button,12,12,mclaren,yas_marina
button,12,20,mclaren,yas_marina
kevin_magnussen,9,11,mclaren,yas_marina
sainz,8,10,mclaren,yas_marina
sainz,6,6,mclaren,yas_marina
vandoorne,13,12,mclaren,yas_marina
vandoorne,18,14,mclaren,yas_marina
norris,6,8,mclaren,yas_marina
norris,4,5,mclaren,yas_marina
raikkonen,17,13,alfa,yas_marina
raikkonen,15,12,alfa,yas_marina
giovinazzi,16,16,alfa,yas_marina
giovinazzi,14,16,alfa,yas_marina
kubica,19,19,williams,yas_marina
massa,4,2,williams,yas_marina
massa,8,8,williams,yas_marina
massa,10,9,williams,yas_marina
massa,10,10,williams,yas_marina
bottas,3,3,williams,yas_marina
bottas,6,13,williams,yas_marina
bottas,11,21,williams,yas_marina
stroll,15,18,williams,yas_marina
stroll,20,13,williams,yas_marina
sirotkin,19,15,williams,yas_marina
russell,18,17,williams,yas_marina
russell,16,15,williams,yas_marina
latifi,18,17,williams,yas_marina
sutil,13,16,sauber,yas_marina
gutierrez,14,15,sauber,yas_marina
ericsson,17,14,sauber,yas_marina
ericsson,22,15,sauber,yas_marina
ericsson,19,17,sauber,yas_marina
ericsson,12,18,sauber,yas_marina
nasr,14,15,sauber,yas_marina
nasr,19,16,sauber,yas_marina
wehrlein,18,14,sauber,yas_marina
leclerc,8,7,sauber,yas_marina
vettel,19,8,red_bull,yas_marina
ricciardo,20,4,red_bull,yas_marina
ricciardo,5,6,red_bull,yas_marina
ricciardo,3,5,red_bull,yas_marina
ricciardo,4,20,red_bull,yas_marina
ricciardo,5,4,red_bull,yas_marina
kvyat,9,10,red_bull,yas_marina
max_verstappen,6,4,red_bull,yas_marina
max_verstappen,6,5,red_bull,yas_marina
max_verstappen,6,3,red_bull,yas_marina
max_verstappen,2,2,red_bull,yas_marina
max_verstappen,1,1,red_bull,yas_marina
albon,5,6,red_bull,yas_marina
albon,5,4,red_bull,yas_marina
grosjean,18,13,lotus_f1,yas_marina
grosjean,18,9,lotus_f1,yas_marina
maldonado,15,19,lotus_f1,yas_marina
maldonado,13,20,lotus_f1,yas_marina
grosjean,14,11,haas,yas_marina
grosjean,16,11,haas,yas_marina
grosjean,7,9,haas,yas_marina
grosjean,15,15,haas,yas_marina
gutierrez,13,12,haas,yas_marina
kevin_magnussen,14,13,haas,yas_marina
kevin_magnussen,13,10,haas,yas_marina
kevin_magnussen,14,14,haas,yas_marina
kevin_magnussen,20,18,haas,yas_marina
pietro_fittipaldi,17,19,haas,yas_marina
kobayashi,16,18,caterham,yas_marina
stevens,17,17,caterham,yas_marina
hulkenberg,12,6,force_india,yas_marina
hulkenberg,7,7,force_india,yas_marina
hulkenberg,7,7,force_india,yas_marina
perez,11,7,force_india,yas_marina
perez,4,5,force_india,yas_marina
perez,8,8,force_india,yas_marina
perez,8,7,force_india,yas_marina
perez,14,8,force_india,yas_marina
ocon,9,8,force_india,yas_marina
ocon,9,17,force_india,yas_marina
hulkenberg,7,6,renault,yas_marina
hulkenberg,10,20,renault,yas_marina
hulkenberg,9,12,renault,yas_marina
ricciardo,7,11,renault,yas_marina
ricciardo,11,7,renault,yas_marina
kevin_magnussen,18,22,renault,yas_marina
sainz,12,19,renault,yas_marina
sainz,11,6,renault,yas_marina
jolyon_palmer,15,17,renault,yas_marina
ocon,10,9,renault,yas_marina
perez,10,7,racing_point,yas_marina
perez,19,20,racing_point,yas_marina
stroll,12,20,racing_point,yas_marina
stroll,8,10,racing_point,yas_marina
vergne,10,12,toro_rosso,yas_marina
kvyat,5,20,toro_rosso,yas_marina
kvyat,17,19,toro_rosso,yas_marina
kvyat,13,9,toro_rosso,yas_marina
max_verstappen,11,16,toro_rosso,yas_marina
sainz,10,11,toro_rosso,yas_marina
sainz,21,18,toro_rosso,yas_marina
gasly,17,16,toro_rosso,yas_marina
gasly,17,16,toro_rosso,yas_marina
gasly,11,18,toro_rosso,yas_marina
brendon_hartley,20,15,toro_rosso,yas_marina
brendon_hartley,16,12,toro_rosso,yas_marina
kvyat,7,11,alphatauri,yas_marina
gasly,9,8,alphatauri,yas_marina
stevens,19,18,manor,yas_marina
merhi,20,19,manor,yas_marina
wehrlein,16,14,manor,yas_marina
ocon,20,13,manor,yas_marina
hamilton,2,2,mercedes,rodriguez
hamilton,1,1,mercedes,rodriguez
hamilton,3,9,mercedes,rodriguez
hamilton,3,4,mercedes,rodriguez
hamilton,3,1,mercedes,rodriguez
rosberg,1,1,mercedes,rodriguez
rosberg,2,2,mercedes,rodriguez
bottas,4,2,mercedes,rodriguez
bottas,5,5,mercedes,rodriguez
bottas,6,3,mercedes,rodriguez
raikkonen,19,19,ferrari,rodriguez
raikkonen,6,6,ferrari,rodriguez
raikkonen,5,3,ferrari,rodriguez
raikkonen,6,3,ferrari,rodriguez
vettel,3,18,ferrari,rodriguez
vettel,7,5,ferrari,rodriguez
vettel,1,4,ferrari,rodriguez
vettel,4,2,ferrari,rodriguez
vettel,2,2,ferrari,rodriguez
leclerc,1,4,ferrari,rodriguez
alonso,18,20,mclaren,rodriguez
alonso,11,13,mclaren,rodriguez
alonso,18,10,mclaren,rodriguez
alonso,12,20,mclaren,rodriguez
button,20,14,mclaren,rodriguez
button,13,12,mclaren,rodriguez
sainz,7,13,mclaren,rodriguez
vandoorne,19,12,mclaren,rodriguez
vandoorne,15,8,mclaren,rodriguez
norris,8,20,mclaren,rodriguez
raikkonen,14,19,alfa,rodriguez
giovinazzi,15,14,alfa,rodriguez
kubica,20,18,williams,rodriguez
massa,7,6,williams,rodriguez
massa,9,9,williams,rodriguez
massa,10,11,williams,rodriguez
bottas,6,3,williams,rodriguez
bottas,8,8,williams,rodriguez
stroll,11,6,williams,rodriguez
stroll,17,12,williams,rodriguez
sirotkin,19,13,williams,rodriguez
russell,19,16,williams,rodriguez
ericsson,14,12,sauber,rodriguez
ericsson,15,11,sauber,rodriguez
ericsson,12,17,sauber,rodriguez
ericsson,10,9,sauber,rodriguez
nasr,15,17,sauber,rodriguez
nasr,19,15,sauber,rodriguez
wehrlein,13,14,sauber,rodriguez
leclerc,9,7,sauber,rodriguez
ricciardo,5,5,red_bull,rodriguez
ricciardo,4,3,red_bull,rodriguez
ricciardo,16,20,red_bull,rodriguez
ricciardo,1,17,red_bull,rodriguez
kvyat,4,4,red_bull,rodriguez
max_verstappen,3,4,red_bull,rodriguez
max_verstappen,2,1,red_bull,rodriguez
max_verstappen,2,1,red_bull,rodriguez
max_verstappen,4,6,red_bull,rodriguez
albon,5,5,red_bull,rodriguez
grosjean,12,10,lotus_f1,rodriguez
maldonado,13,11,lotus_f1,rodriguez
grosjean,22,20,haas,rodriguez
grosjean,15,15,haas,rodriguez
grosjean,18,16,haas,rodriguez
grosjean,18,17,haas,rodriguez
gutierrez,17,19,haas,rodriguez
kevin_magnussen,14,8,haas,rodriguez
kevin_magnussen,16,15,haas,rodriguez
kevin_magnussen,17,15,haas,rodriguez
hulkenberg,10,7,force_india,rodriguez
hulkenberg,5,7,force_india,rodriguez
perez,9,8,force_india,rodriguez
perez,12,10,force_india,rodriguez
perez,9,7,force_india,rodriguez
perez,13,18,force_india,rodriguez
ocon,6,5,force_india,rodriguez
ocon,11,11,force_india,rodriguez
hulkenberg,7,19,renault,rodriguez
hulkenberg,7,6,renault,rodriguez
hulkenberg,12,10,renault,rodriguez
ricciardo,13,8,renault,rodriguez
kevin_magnussen,14,17,renault,rodriguez
sainz,8,16,renault,rodriguez
sainz,8,19,renault,rodriguez
jolyon_palmer,21,14,renault,rodriguez
perez,11,7,racing_point,rodriguez
stroll,16,12,racing_point,rodriguez
kvyat,18,18,toro_rosso,rodriguez
kvyat,9,11,toro_rosso,rodriguez
max_verstappen,8,9,toro_rosso,rodriguez
sainz,11,13,toro_rosso,rodriguez
sainz,10,16,toro_rosso,rodriguez
gasly,20,13,toro_rosso,rodriguez
gasly,20,10,toro_rosso,rodriguez
gasly,10,9,toro_rosso,rodriguez
brendon_hartley,17,18,toro_rosso,rodriguez
brendon_hartley,14,14,toro_rosso,rodriguez
stevens,17,16,manor,rodriguez
rossi,16,15,manor,rodriguez
wehrlein,16,22,manor,rodriguez
ocon,20,21,manor,rodriguez
hamilton,10,5,mercedes,BAK
hamilton,1,5,mercedes,BAK
hamilton,2,1,mercedes,BAK
hamilton,2,2,mercedes,BAK
hamilton,2,15,mercedes,BAK
rosberg,1,1,mercedes,BAK
bottas,2,2,mercedes,BAK
bottas,3,14,mercedes,BAK
bottas,1,1,mercedes,BAK
bottas,10,12,mercedes,BAK
raikkonen,4,4,ferrari,BAK
raikkonen,3,14,ferrari,BAK
raikkonen,6,2,ferrari,BAK
vettel,3,2,ferrari,BAK
vettel,4,4,ferrari,BAK
vettel,1,4,ferrari,BAK
vettel,3,3,ferrari,BAK
sainz,5,8,ferrari,BAK
leclerc,8,5,ferrari,BAK
leclerc,1,4,ferrari,BAK
alonso,13,19,mclaren,BAK
alonso,19,9,mclaren,BAK
alonso,12,7,mclaren,BAK
button,19,11,mclaren,BAK
ricciardo,13,9,mclaren,BAK
sainz,9,7,mclaren,BAK
vandoorne,18,12,mclaren,BAK
vandoorne,16,9,mclaren,BAK
norris,7,8,mclaren,BAK
norris,9,5,mclaren,BAK
alonso,8,6,alpine,BAK
ocon,12,20,alpine,BAK
raikkonen,20,10,alfa,BAK
raikkonen,14,10,alfa,BAK
giovinazzi,17,12,alfa,BAK
giovinazzi,20,11,alfa,BAK
kubica,20,16,williams,BAK
massa,5,10,williams,BAK
massa,9,16,williams,BAK
bottas,8,6,williams,BAK
stroll,8,3,williams,BAK
stroll,10,8,williams,BAK
sirotkin,11,20,williams,BAK
russell,16,15,williams,BAK
russell,15,17,williams,BAK
latifi,16,16,williams,BAK
ericsson,20,17,sauber,BAK
ericsson,17,11,sauber,BAK
ericsson,18,11,sauber,BAK
nasr,15,12,sauber,BAK
wehrlein,14,10,sauber,BAK
leclerc,13,6,sauber,BAK
perez,6,1,red_bull,BAK
ricciardo,2,7,red_bull,BAK
ricciardo,10,1,red_bull,BAK
ricciardo,4,17,red_bull,BAK
max_verstappen,9,8,red_bull,BAK
max_verstappen,5,18,red_bull,BAK
max_verstappen,5,16,red_bull,BAK
max_verstappen,4,4,red_bull,BAK
max_verstappen,3,18,red_bull,BAK
gasly,20,17,red_bull,BAK
vettel,11,2,aston_martin,BAK
stroll,19,19,aston_martin,BAK
grosjean,11,13,haas,BAK
grosjean,16,13,haas,BAK
grosjean,20,15,haas,BAK
grosjean,14,18,haas,BAK
gutierrez,14,16,haas,BAK
kevin_magnussen,12,7,haas,BAK
kevin_magnussen,15,13,haas,BAK
kevin_magnussen,12,13,haas,BAK
mazepin,18,14,haas,BAK
mick_schumacher,17,13,haas,BAK
hulkenberg,12,9,force_india,BAK
perez,7,3,force_india,BAK
perez,6,15,force_india,BAK
perez,8,3,force_india,BAK
ocon,7,6,force_india,BAK
ocon,7,19,force_india,BAK
hulkenberg,13,17,renault,BAK
hulkenberg,14,18,renault,BAK
hulkenberg,15,14,renault,BAK
ricciardo,10,20,renault,BAK
kevin_magnussen,22,14,renault,BAK
sainz,9,5,renault,BAK
jolyon_palmer,21,15,renault,BAK
jolyon_palmer,20,20,renault,BAK
perez,5,6,racing_point,BAK
stroll,13,9,racing_point,BAK
kvyat,6,22,toro_rosso,BAK
kvyat,11,19,toro_rosso,BAK
kvyat,6,19,toro_rosso,BAK
sainz,18,21,toro_rosso,BAK
sainz,15,8,toro_rosso,BAK
gasly,17,12,toro_rosso,BAK
brendon_hartley,19,10,toro_rosso,BAK
albon,11,11,toro_rosso,BAK
gasly,4,3,alphatauri,BAK
tsunoda,7,7,alphatauri,BAK
wehrlein,17,20,manor,BAK
haryanto,16,18,manor,BAK
hamilton,1,1,mercedes,ricard
hamilton,1,1,mercedes,ricard
hamilton,2,2,mercedes,ricard
bottas,2,7,mercedes,ricard
bottas,2,2,mercedes,ricard
bottas,3,4,mercedes,ricard
raikkonen,6,3,ferrari,ricard
vettel,3,5,ferrari,ricard
vettel,7,5,ferrari,ricard
sainz,5,11,ferrari,ricard
leclerc,3,3,ferrari,ricard
leclerc,7,16,ferrari,ricard
alonso,16,16,mclaren,ricard
ricciardo,10,6,mclaren,ricard
sainz,6,6,mclaren,ricard
vandoorne,17,12,mclaren,ricard
norris,5,9,mclaren,ricard
norris,8,5,mclaren,ricard
alonso,9,8,alpine,ricard
ocon,11,14,alpine,ricard
raikkonen,12,7,alfa,ricard
raikkonen,17,17,alfa,ricard
giovinazzi,10,16,alfa,ricard
giovinazzi,13,15,alfa,ricard
kubica,18,18,williams,ricard
stroll,19,17,williams,ricard
sirotkin,18,15,williams,ricard
russell,20,19,williams,ricard
russell,14,12,williams,ricard
latifi,16,18,williams,ricard
ericsson,15,13,sauber,ricard
leclerc,8,10,sauber,ricard
perez,4,3,red_bull,ricard
ricciardo,5,4,red_bull,ricard
max_verstappen,4,2,red_bull,ricard
max_verstappen,4,4,red_bull,ricard
max_verstappen,1,1,red_bull,ricard
gasly,9,10,red_bull,ricard
vettel,12,9,aston_martin,ricard
stroll,19,10,aston_martin,ricard
grosjean,10,11,haas,ricard
grosjean,16,20,haas,ricard
kevin_magnussen,9,6,haas,ricard
kevin_magnussen,15,17,haas,ricard
mazepin,18,20,haas,ricard
mick_schumacher,15,19,haas,ricard
perez,13,18,force_india,ricard
ocon,11,19,force_india,ricard
hulkenberg,12,9,renault,ricard
hulkenberg,13,8,renault,ricard
ricciardo,8,11,renault,ricard
sainz,7,8,renault,ricard
perez,14,12,racing_point,ricard
stroll,17,13,racing_point,ricard
kvyat,19,14,toro_rosso,ricard
gasly,14,20,toro_rosso,ricard
brendon_hartley,20,14,toro_rosso,ricard
albon,11,15,toro_rosso,ricard
gasly,6,7,alphatauri,ricard
tsunoda,20,13,alphatauri,ricard
hamilton,1,1,mercedes,mugello
bottas,2,2,mercedes,mugello
vettel,14,10,ferrari,mugello
leclerc,5,8,ferrari,mugello
sainz,9,18,mclaren,mugello
norris,11,6,mclaren,mugello
raikkonen,13,9,alfa,mugello
giovinazzi,17,17,alfa,mugello
russell,18,11,williams,mugello
latifi,19,15,williams,mugello
max_verstappen,3,19,red_bull,mugello
albon,4,3,red_bull,mugello
grosjean,15,12,haas,mugello
kevin_magnussen,20,16,haas,mugello
ricciardo,8,4,renault,mugello
ocon,10,14,renault,mugello
perez,7,5,racing_point,mugello
stroll,6,13,racing_point,mugello
kvyat,12,7,alphatauri,mugello
gasly,16,20,alphatauri,mugello
hamilton,2,1,mercedes,nurburgring
bottas,1,19,mercedes,nurburgring
vettel,11,11,ferrari,nurburgring
leclerc,4,7,ferrari,nurburgring
sainz,10,5,mclaren,nurburgring
norris,8,16,mclaren,nurburgring
raikkonen,19,12,alfa,nurburgring
giovinazzi,14,10,alfa,nurburgring
russell,17,20,williams,nurburgring
latifi,18,14,williams,nurburgring
max_verstappen,3,2,red_bull,nurburgring
albon,5,17,red_bull,nurburgring
grosjean,16,9,haas,nurburgring
kevin_magnussen,15,13,haas,nurburgring
ricciardo,6,3,renault,nurburgring
ocon,7,18,renault,nurburgring
hulkenberg,20,8,racing_point,nurburgring
perez,9,4,racing_point,nurburgring
kvyat,13,15,alphatauri,nurburgring
gasly,12,6,alphatauri,nurburgring
hamilton,1,1,mercedes,portimao
hamilton,2,1,mercedes,portimao
bottas,2,2,mercedes,portimao
bottas,1,3,mercedes,portimao
vettel,15,10,ferrari,portimao
sainz,5,11,ferrari,portimao
leclerc,4,4,ferrari,portimao
leclerc,8,6,ferrari,portimao
ricciardo,16,9,mclaren,portimao
sainz,7,6,mclaren,portimao
norris,8,13,mclaren,portimao
norris,7,5,mclaren,portimao
alonso,13,8,alpine,portimao
ocon,6,7,alpine,portimao
raikkonen,16,11,alfa,portimao
raikkonen,15,20,alfa,portimao
giovinazzi,17,15,alfa,portimao
giovinazzi,12,12,alfa,portimao
russell,14,14,williams,portimao
russell,11,16,williams,portimao
latifi,20,18,williams,portimao
latifi,18,18,williams,portimao
perez,4,4,red_bull,portimao
max_verstappen,3,3,red_bull,portimao
max_verstappen,3,2,red_bull,portimao
albon,6,12,red_bull,portimao
vettel,10,13,aston_martin,portimao
stroll,17,14,aston_martin,portimao
grosjean,18,17,haas,portimao
kevin_magnussen,19,16,haas,portimao
mazepin,20,19,haas,portimao
mick_schumacher,19,17,haas,portimao
ricciardo,10,9,renault,portimao
ocon,11,8,renault,portimao
perez,5,7,racing_point,portimao
stroll,12,20,racing_point,portimao
kvyat,13,19,alphatauri,portimao
gasly,9,5,alphatauri,portimao
gasly,9,10,alphatauri,portimao
tsunoda,14,15,alphatauri,portimao
hamilton,2,1,mercedes,imola
hamilton,1,2,mercedes,imola
bottas,1,2,mercedes,imola
bottas,8,18,mercedes,imola
vettel,14,12,ferrari,imola
sainz,11,5,ferrari,imola
leclerc,7,5,ferrari,imola
leclerc,4,4,ferrari,imola
ricciardo,6,6,mclaren,imola
sainz,10,7,mclaren,imola
norris,9,8,mclaren,imola
norris,7,3,mclaren,imola
alonso,15,10,alpine,imola
ocon,9,9,alpine,imola
raikkonen,18,9,alfa,imola
raikkonen,16,13,alfa,imola
giovinazzi,20,10,alfa,imola
giovinazzi,17,14,alfa,imola
russell,13,16,williams,imola
russell,12,19,williams,imola
latifi,19,11,williams,imola
latifi,14,20,williams,imola
perez,2,11,red_bull,imola
max_verstappen,3,17,red_bull,imola
max_verstappen,3,1,red_bull,imola
albon,6,15,red_bull,imola
vettel,20,15,aston_martin,imola
stroll,10,8,aston_martin,imola
grosjean,16,14,haas,imola
kevin_magnussen,17,18,haas,imola
mazepin,19,17,haas,imola
mick_schumacher,18,16,haas,imola
ricciardo,5,3,renault,imola
ocon,12,19,renault,imola
perez,11,6,racing_point,imola
stroll,15,13,racing_point,imola
kvyat,8,4,alphatauri,imola
gasly,4,20,alphatauri,imola
gasly,5,7,alphatauri,imola
tsunoda,20,12,alphatauri,imola
hamilton,6,1,mercedes,istanbul
bottas,9,14,mercedes,istanbul
vettel,11,3,ferrari,istanbul
leclerc,12,4,ferrari,istanbul
sainz,15,5,mclaren,istanbul
norris,14,8,mclaren,istanbul
raikkonen,8,15,alfa,istanbul
giovinazzi,10,20,alfa,istanbul
russell,20,16,williams,istanbul
latifi,20,19,williams,istanbul
max_verstappen,2,6,red_bull,istanbul
albon,4,7,red_bull,istanbul
grosjean,17,18,haas,istanbul
kevin_magnussen,13,17,haas,istanbul
ricciardo,5,10,renault,istanbul
ocon,7,11,renault,istanbul
perez,3,2,racing_point,istanbul
stroll,1,9,racing_point,istanbul
kvyat,16,12,alphatauri,istanbul
gasly,19,13,alphatauri,istanbul
